donanim,fiyat
1.4 Multi Air 140 HP DCT Cross Plus,
1.4 Multi Air 170 HP AT9 4X4 Cross Plus,
1.6 E-TORQ 110 HP Pop Plus,
1.6 Multi Jet 120 HP Cross Plus,
1.6 Multi Jet 120 HP DCT Cross,
1.6 Multi Jet 120 HP DCT Cross Plus,
1.6 M.Jet 105 HP Easy,
1.6 M.Jet 105 HP Easy Maxi,
1.6 M.Jet 105 HP Premio Plus (Gri / Black),
1.6 M.Jet 105 HP Safeline,
1.6 M.Jet 90 HP Conformatic Premio Plus (Gri / Black),
1.3 M.Jet 95 HP Easy Plus,
1.3 M.Jet 95 HP Urban Plus,
1.4 Fire 95 HP Easy Plus,
1.4 Fire 95 HP Lounge Plus,
1.4 Fire 95 HP Urban Plus,
1.4 T-Jet 120 HP Lounge Plus,
1.6 E-Torq 110 HP AT6 Easy Plus,
1.6 E-Torq 110 HP AT6 Lounge Plus,
1.6 E-Torq 110 HP AT6 Urban Plus,
1.6 M.Jet 120 HP DCT Easy Plus,
1.6 M.Jet 120 HP DCT Lounge Plus,
1.6 M.Jet 120 HP DCT Urban Plus,
1.6 M.Jet 120 HP Lounge Plus,
1.6 M.Jet 120 HP Urban Plus,
1.3 M.Jet 95 HP Easy,
1.3 M.Jet 95 HP Lounge,
1.3 M.Jet 95 HP Urban,
1.4 Fire 95 HP Easy,
1.4 Fire 95 HP Lounge,
1.4 Fire 95 HP Urban,
1.6 E-Torq 110 HP AT6 Lounge,
1.6 E-Torq 110 HP AT6 Urban,
1.6 M.Jet 120 HP DCT Comfort,
1.6 M.Jet 120 HP DCT Lounge,
1.6 M.Jet 120 HP DCT Urban,
1.6 M.Jet 120 HP Lounge,
1.6 M.Jet 120 HP Urban,
1.6 E-Torq 110 HP AT6 Lounge Plus,
1.6 E-Torq 110 HP AT6 Urban Plus,
1.6 M.Jet 120 HP DCT Lounge Plus,
1.6 M.Jet 120 HP DCT Urban Plus,
1.6 M.Jet 120 HP Lounge Plus,
1.6 M.Jet 120 HP Urban Plus,
1.3 M.Jet 75 HP Emotion,
