,marka,model,donanim,motor,yakit,vites,fiyat,websitesi,sil1,sil2
138,Bmw,118i,1.5 136BG M Plus,1500,Benzin,Otomatik,169700.0,http://www.bmw.com.tr/,,
139,Bmw,118i,1.5 136BG Pure,1500,Benzin,Otomatik,144600.0,http://www.bmw.com.tr/,,
140,Bmw,216d Active Tourer,1.5 116BG Joy,1500,Dizel,Otomatik,175100.0,http://www.bmw.com.tr/,,
141,Bmw,216d Active Tourer,1.5 116BG Luxury Line,1500,Dizel,Otomatik,190800.0,http://www.bmw.com.tr/,,
142,Bmw,216d Active Tourer,1.5 116BG M Sport,1500,Dizel,Otomatik,195900.0,http://www.bmw.com.tr/,,
143,Bmw,216d Active Tourer,1.5 116BG Prestige,1500,Dizel,Otomatik,184000.0,http://www.bmw.com.tr/,,
144,Bmw,216d Active Tourer,1.5 116BG Sport Line,1500,Dizel,Otomatik,184700.0,http://www.bmw.com.tr/,,
145,Bmw,216d Gran Tourer,1.5 116BG Joy,1500,Dizel,Otomatik,187600.0,http://www.bmw.com.tr/,,
146,Bmw,216d Gran Tourer,1.5 116BG Luxury Line,1500,Dizel,Otomatik,203400.0,http://www.bmw.com.tr/,,
147,Bmw,216d Gran Tourer,1.5 116BG M Sport,1500,Dizel,Otomatik,208400.0,http://www.bmw.com.tr/,,
148,Bmw,216d Gran Tourer,1.5 116BG Prestige,1500,Dizel,Otomatik,196600.0,http://www.bmw.com.tr/,,
149,Bmw,216d Gran Tourer,1.5 116BG Sport Line,1500,Dizel,Otomatik,197300.0,http://www.bmw.com.tr/,,
150,Bmw,218i Cabrio,1.5 136BG Joy,1500,Benzin,Otomatik,202000.0,http://www.bmw.com.tr/,,
151,Bmw,218i Cabrio,1.5 136BG Luxury Line,1500,Benzin,Otomatik,217700.0,http://www.bmw.com.tr/,,
152,Bmw,218i Cabrio,1.5 136BG M Sport,1500,Benzin,Otomatik,221300.0,http://www.bmw.com.tr/,,
153,Bmw,218i Cabrio,1.5 136BG Prestige,1500,Benzin,Otomatik,208400.0,http://www.bmw.com.tr/,,
154,Bmw,218i Cabrio,1.5 136BG Sport Line,1500,Benzin,Otomatik,211300.0,http://www.bmw.com.tr/,,
155,Bmw,218i Coupe,1.5 136BG Joy,1500,Benzin,Otomatik,166100.0,http://www.bmw.com.tr/,,
156,Bmw,218i Coupe,1.5 136BG Luxury Line,1500,Benzin,Otomatik,181900.0,http://www.bmw.com.tr/,,
157,Bmw,218i Coupe,1.5 136BG M Sport,1500,Benzin,Otomatik,185500.0,http://www.bmw.com.tr/,,
158,Bmw,218i Coupe,1.5 136BG Prestige,1500,Benzin,Otomatik,173300.0,http://www.bmw.com.tr/,,
159,Bmw,218i Coupe,1.5 136BG Sport Line,1500,Benzin,Otomatik,175400.0,http://www.bmw.com.tr/,,
160,Bmw,318d Sedan,2.0 150BG 40th Year Edition,2000,Dizel,Otomatik,299800.0,http://www.bmw.com.tr/,,
161,Bmw,318d Sedan,2.0 150BG Joy,2000,Dizel,Otomatik,214100.0,http://www.bmw.com.tr/,,
162,Bmw,318d Sedan,2.0 150BG Luxury Plus,2000,Dizel,Otomatik,272500.0,http://www.bmw.com.tr/,,
163,Bmw,318d Sedan,2.0 150BG M Plus,2000,Dizel,Otomatik,262000.0,http://www.bmw.com.tr/,,
